Day No.,Number of entries
1,99149
2,72525
3,84339
4,104099
5,108348
6,67275
7,73106
8,76696
9,86234
10,79813
11,86388
12,86843
13,70664
14,72810
15,85417
16,86514
17,88028
18,83035
19,78963
20,68515
21,71440
22,104863
23,97258
24,85376
25,84072
26,64240
27,80693
28,72408
29,86256
30,56701
31,21590
