Day No.,Number of entries
1,47520
2,47520
3,47520
4,47040
5,46080
6,46080
7,46080
8,46080
9,46080
10,46080
11,46080
12,46080
13,46080
14,46080
15,46080
16,46080
17,46080
18,44940
19,43200
20,42720
21,41760
22,41760
23,41760
24,41760
25,41760
26,39540
27,38880
28,37740
29,34560
30,31380
31,15180
